name,gender
Benjamin Weill,m
Glen Scantlebury,m
Stephen Warbeck,m
Ichiro Okouchi,m
Richard Hewitt,m
Niall Johnson,m
Jeffrey Kurland,m
Michaël Tordjman,m
Kevin Phipps,m
Anthony Leondis,m
Gillian Berrie,f
Ryu Seong-hee,f
Kramer Morgenthau,m
Shirley Walker,f
Suzanne Martin,f
Lyle R. Wheeler,m
John Zachary,m
Elaine Dysinger,f
Tony Chance,m
Marc Forster,m
Mark Irwin,m
Pamela Withers,f
Jane Petrie,f
Robert Golden,m
Cyrus Nowrasteh,m
Andrés Calderón,m
Deanna Oliver,f
Paul Hirsch,m
Makoto Shinkai,m
Robert Halmi Jr.,m
Christophe Beck,m
Tim Bevan,m
Waldemar Kalinowski,m
Nick Moorcroft,m
Takashi Watabe,m
Marc Lawrence,m
James Bamford,m
Nia Vardalos,f
Sue Blane,f
Matt Ross,m
Matt Reeves,m
Simon Beaufoy,m
Alex Heffes,m
Alex McDowell,m
Andrew Rona,m
Don Burgess,m
Ringo Lam,m
Harvey Weinstein,m
Melanie Massey,f
Alain Sarde,m
Sylvester Stallone,m
Anna Thomas,f
Thomas Johnston,m
Junkie XL,m
Robert M. Haas,m
Russell Streiner,m
Lawrence Lasker,m
Janet Hirshenson,f
Steven Zaillian,m
Jon Watts,m
William Fay,m
Ian Wilson,m
McG,m
Damien Chazelle,m
Jason Netter,m
Mark Fincannon,m
Pierre Spengler,m
Michael Ballhaus,m
Nicola Piovani,m
Scott Derrickson,m
Jon Harris,m
Pietro Scalia,m
Joe Hisaishi,m
Mark Neveldine,m
David Dobkin,m
Miguel Arteta,m
Sue Jett,f
Stephen A. Rotter,m
Karin Silvestri,f
Loyal Griggs,m
Toby Yates,m
François Truffaut,m
Arthur von Kirbach,m
Steve Saklad,m
Lucien Ballard,m
Gus Van Sant,m
Alex McDowell,m
